response_id,condition,in_school,work_hours,has_job,job_satis,toi_1,toi_2,toi_3,skil_aq_1,skil_aq_2,skil_aq_3,job_avail,sksh_pre,passion_1,passion_2,passion_3,job_year,js_intent_1,js_intent_2,js_intent_3,js_intent_4,js_intent_5,js_intent_6,tr_int_ex_1,tr_int_ex_2,tr_int_in_1,tr_int_in_2,expectancy_1,expectancy_2,bls_link,satis_post,male,race,highest_ed,sksh_post,age,study_ID
R_8B8wgC27TZiT9xb,supply,0,6,1,6,3,2,2,7,6,6,5,6,6,2,2,3,4,3,3,4,5,5,1,1,2,3,6,6,0,6,1,1,3,5,31,js_5
R_0GQL4waH2OvXRPL,treatment,0,4,1,6,5,5,5,6,6,7,6,6,6,5,5,1,3,2,2,2,3,2,3,3,3,3,6,6,0,6,1,1,3,6,31,js_5
R_6MsfYGGdWuZskId,treatment,0,3,0,1,4,4,4,5,4,4,4,5,5,4,4,5,4,3,3,2,4,2,4,3,2,2,4,5,0,1,1,1,6,7,23,js_5
R_3Ws95AExw1Tsexf,supply,0,4,0,5,2,2,2,7,7,7,6,7,3,6,6,4,2,4,4,3,5,1,1,1,3,1,7,7,0,6,1,1,6,7,26,js_5
R_4JayxUZrGyNXGU5,music,0,3,1,4,2,2,3,5,5,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,4,4,0,6,1,2,6,5,42,js_5
R_8qCvjwdlLlNllwp,music,0,5,0,6,3,3,3,6,6,6,4,6,5,3,3,1,1,1,1,1,1,2,1,1,1,1,1,1,0,6,0,1,5,5,67,js_5
R_00vAAAXeMVO3IHP,music,0,2,1,6,5,6,5,7,6,7,7,6,7,7,7,5,1,1,1,1,1,1,1,1,1,1,1,1,0,7,0,6,7,5,48,js_5
R_0cQjMafeeE1WXLD,treatment,1,5,1,3,4,3,3,6,6,6,3,5,6,2,3,4,2,2,2,2,3,3,3,3,4,3,6,6,1,3,0,1,3,5,23,js_5
R_8eKOoykv2ZCjeo5,treatment,0,6,1,5,3,3,3,7,7,7,5,7,3,7,6,5,4,3,4,4,4,4,4,4,4,4,6,6,1,3,1,1,6,7,26,js_5
R_d7pX4OptOiw8t9j,supply,1,3,1,7,4,5,3,5,5,5,3,2,6,3,2,5,3,4,1,1,1,3,5,5,5,5,7,7,0,7,1,3,3,4,19,js_5
R_2gJiPnhQju2kZbn,supply,0,6,1,4,6,6,6,7,7,7,1,5,6,4,5,1,1,2,1,1,2,2,1,1,1,1,1,1,0,4,0,1,2,2,51,js_5
R_0BTVoE82ODAC1Lv,supply,0,3,0,7,4,4,4,6,6,6,4,4,6,2,4,1,1,1,1,1,1,1,1,1,2,1,4,4,0,7,0,1,6,4,29,js_5
